channel,h,var,coef,se,p,n
I,0,gov_eff_z,0.08012906059367608,0.1231976671495647,0.5166207437271111,2901
I,0,growth_lag,-0.0002147414672352783,0.004969076505471747,0.9655986512085648,2901
I,1,M_z,-0.22392490947167376,0.1337293207088551,0.09653973504307757,2799
I,1,MxW_F,-0.006436483513557722,0.04040453805291783,0.8736888367363105,2799
I,1,MxW_T,0.06009515841485493,0.10356429318037265,0.5627777352252803,2799
I,1,MxW_I,-0.09057515736685928,0.08204290134653233,0.2717149187424964,2799
I,1,W_F,-0.05985738368894704,0.05531633432915437,0.28129455836723816,2799
I,1,W_T,-0.16747684352058212,0.15030266792161245,0.267303854441443,2799
I,1,W_I,-0.23947483471519165,0.1362943935696212,0.08135928436684141,2799
I,1,infl_z,-0.09645428382799812,0.06024255003877742,0.11187929198551141,2799
I,1,gov_eff_z,0.11745892894855528,0.2173175835318708,0.5898179159687663,2799
I,1,growth_lag,-0.00798481061248687,0.006783446334933273,0.24139115487856297,2799
I,2,M_z,-0.33087021939618466,0.2079595532063216,0.1141283675387784,2680
I,2,MxW_F,0.0019480012515642776,0.061026931388395725,0.9745864787289527,2680
I,2,MxW_T,0.06484817751109093,0.16162201807862675,0.688933249178451,2680
I,2,MxW_I,-0.07988750422479363,0.12235118193313116,0.5149965679308701,2680
I,2,W_F,-0.05679306607576427,0.08087106112403883,0.48381841166078154,2680
I,2,W_T,-0.101042102920235,0.21824163134909355,0.6441817822783924,2680
I,2,W_I,-1.128437841538681,0.26638916997327755,4.375055297535463e-05,2680
I,2,infl_z,-0.11233124658122837,0.08905784196211906,0.20953917035839228,2680
I,2,gov_eff_z,0.1954212798850155,0.31047678815394847,0.5302207702723598,2680
I,2,growth_lag,-0.0194920733068863,0.00860819703045288,0.025274578357376693,2680
I,3,M_z,-0.4432360895200894,0.258055727555673,0.08834625643737083,2559
I,3,MxW_F,0.006129797720544497,0.0797196073290718,0.9388324231741962,2559
I,3,MxW_T,0.044230431989011186,0.20215960967425994,0.8271707278015146,2559
I,3,MxW_I,-0.07687388096532122,0.14670746603155319,0.601210345925802,2559
I,3,W_F,-0.08072016364310405,0.09640690089178335,0.40402970865139115,2559
I,3,W_T,-0.09787812646655569,0.2883067665924517,0.7348081048843672,2559
I,3,W_I,-1.9112641222668774,0.3482498334747693,2.1647293532043483e-07,2559
I,3,infl_z,-0.13816040210277447,0.12213582822733555,0.26013531293730163,2559
I,3,gov_eff_z,0.217521728555315,0.3810442108958039,0.5691214738093109,2559
I,3,growth_lag,-0.022218971850624714,0.010892280551389303,0.04346911622419207,2559
I,4,M_z,-0.542444469594656,0.3187474514175149,0.09127875691400893,2438
I,4,MxW_F,-0.003758387658631294,0.0982007076249293,0.9695314647852962,2438
I,4,MxW_T,0.036714314194937654,0.24429492961495317,0.8807805485105266,2438
I,4,MxW_I,-0.1435283051273467,0.1822583799420821,0.43248046045762684,2438
I,4,W_F,-0.11607546801370482,0.10918959887484433,0.2898025995594078,2438
I,4,W_T,-0.08298530605226123,0.3416334151426203,0.8084752262079462,2438
