channel,h,var,coef,se,p,n,countries,cov_M_F,specification
F,1,infl_z,0.9252766572445859,0.5133771669233688,0.0740242612507891,881,120,0.2672871478453403,post2015
F,1,gov_eff_z,-1.7837036934302444,1.238976814755961,0.1525894595942013,881,120,0.2672871478453403,post2015
F,1,growth_lag,-0.05074062847854739,0.032773743915131354,0.12422722257773558,881,120,0.2672871478453403,post2015
F,1,lgdp_pc,0.20375930267936937,2.7385586418373076,0.9408139748956924,881,120,0.2672871478453403,post2015
F,2,M_z,0.8450524995765154,0.6420100438881627,0.19065947027355964,777,118,0.4393575065036039,post2015
F,2,MxW_F,0.2953154810334784,0.9088240624365903,0.7458049643603193,777,118,0.4393575065036039,post2015
F,2,MxW_T,0.10853195955888464,0.4602518746729113,0.813992449821122,777,118,0.4393575065036039,post2015
F,2,MxW_I,0.2615061963008855,0.2972656303660393,0.38082217666791796,777,118,0.4393575065036039,post2015
F,2,W_F,-4.845027945332249,0.9437159834400715,1.1427747773323306e-06,777,118,0.4393575065036039,post2015
F,2,W_T,-0.5075922748558717,1.679495877875274,0.7630141408800364,777,118,0.4393575065036039,post2015
F,2,W_I,-0.02528454597695856,0.7272785378123767,0.9723255974317778,777,118,0.4393575065036039,post2015
F,2,infl_z,0.492978669871845,0.3970611651312467,0.21687905765551724,777,118,0.4393575065036039,post2015
F,2,gov_eff_z,-1.4931874396197684,1.4051000931272513,0.2901105452332368,777,118,0.4393575065036039,post2015
F,2,growth_lag,0.015523311773856454,0.05463878941126311,0.7768298772546735,777,118,0.4393575065036039,post2015
F,2,lgdp_pc,2.265283185050013,2.8168837673458706,0.42292367035677153,777,118,0.4393575065036039,post2015
G,1,M_z,-1.4004325223598677,0.6484250187131694,0.032850549328357605,1333,117,-0.03734201897836753,end2022
G,1,MxW_F,-0.5019307306596481,0.2329465279854894,0.03325253778345688,1333,117,-0.03734201897836753,end2022
G,1,MxW_T,0.06312159379715832,0.7396230292391053,0.9321358898244302,1333,117,-0.03734201897836753,end2022
G,1,MxW_I,-0.9153688555829944,0.5664241538334768,0.10880037287314032,1333,117,-0.03734201897836753,end2022
G,1,W_F,1.2436842687187044,0.39706426883057133,0.0021965621982419892,1333,117,-0.03734201897836753,end2022
